% b (um)                                          ,w (um)                                            ,Ef (eV)                                           ,freq (THz)                                        ,S11 (1)                                           ,Absorptance (1)
4.9258,13.579,0.44504,4.5,0.04198810704627534-0.6291207679214872j           ,0.602444058
4.9258,13.579,0.44504,4.6,-0.21245224452449044-0.6697433959331631j          ,0.506307827
4.9258,13.579,0.44504,4.7,-0.47779162948988035-0.6043327925517114j          ,0.406497035
4.9258,13.579,0.44504,4.8,-0.7069473408871746-0.43580218731038833j          ,0.310301911
4.9258,13.579,0.44504,4.9,-0.8603949160961909-0.18882374946237712j          ,0.22406618
4.9258,13.579,0.44504,5,-0.9156412761324678+0.09842129042912842j          ,0.151914303
4.7305,12.017,0.15078,0.1,-0.9646134251515728+0.25283217034057875j          ,0.005596834
4.7305,12.017,0.15078,0.2,-0.8624750632585984+0.4841604754106599j           ,0.021725399
4.7305,12.017,0.15078,0.3,-0.7046316120894663+0.6759339870497232j           ,0.046607536
4.7305,12.017,0.15078,0.4,-0.5066234780862212+0.815762373789468j            ,0.077864401
4.7305,12.017,0.15078,0.5,-0.2856055918037421+0.8974040465023237j           ,0.113095423
4.7305,12.017,0.15078,0.6,-0.05811870283352744+0.9199511073336513j          ,0.150312176
4.7305,12.017,0.15078,0.7,0.16112628813226554+0.8865042167713918j           ,0.188148593
4.7305,12.017,0.15078,0.8,0.35964249082410604+0.8029807846577243j           ,0.225879138
4.7305,12.017,0.15078,0.9,0.5271539714917293+0.6773372604359243j            ,0.263322926
4.7305,12.017,0.15078,1,0.6555578610742485+0.5191898727652784j            ,0.300685767
4.7305,12.017,0.15078,1.1,0.7391050289648119+0.3396354606527177j            ,0.33837151
4.7305,12.017,0.15078,1.2,0.7748858092311419+0.15099155817215842j           ,0.376753532
4.7305,12.017,0.15078,1.3,0.763511959968415-0.03386392269067396j            ,0.415902722
4.7305,12.017,0.15078,1.4,0.7096258971179821-0.2027938366099083j            ,0.455305746
4.7305,12.017,0.15078,1.5,0.6216275260476324-0.3462557773148746j            ,0.493686156
4.7305,12.017,0.15078,1.6,0.5100999016867437-0.4590179283140804j            ,0.529100632
4.7305,12.017,0.15078,1.7,0.3851574939748709-0.5406021382366084j            ,0.559403033
4.7305,12.017,0.15078,1.8,0.2540027406146127-0.59376558901239j              ,0.582925033
4.7305,12.017,0.15078,1.9,0.1202193273629707-0.6217337238640088j            ,0.59899449
4.7305,12.017,0.15078,2,-0.01486377211755283-0.6259191013317302j          ,0.608004347
4.7305,12.017,0.15078,2.1,-0.1498774876024975-0.6053602693475838j           ,0.611075683
4.7305,12.017,0.15078,2.2,-0.2816426103132032-0.557750782677431j            ,0.609591504
4.7305,12.017,0.15078,2.3,-0.404592425390212-0.4811076871636988j            ,0.604840363
4.7305,12.017,0.15078,2.4,-0.5112254479694036-0.3752384248609707j           ,0.597844666
4.7305,12.017,0.15078,2.5,-0.5931200970683265-0.2426452050770272j           ,0.589331855
4.7305,12.017,0.15078,2.6,-0.6421263814279307-0.08885188709312038j          ,0.579779052
4.7305,12.017,0.15078,2.7,-0.6515198335979293+0.0777381865007388j           ,0.569478681
4.7305,12.017,0.15078,2.8,-0.6170184612622017+0.24635676030370168j          ,0.558596565
4.7305,12.017,0.15078,2.9,-0.5375956986385939+0.40469599161591097j          ,0.547212019
4.7305,12.017,0.15078,3,-0.41601223443515084+0.5400002193420517j          ,0.535333584
4.7305,12.017,0.15078,3.1,-0.2589609812142578+0.6403483855042289j           ,0.522893155
4.7305,12.017,0.15078,3.2,-0.0767300227318302+0.6959810702875873j           ,0.509722853
4.7305,12.017,0.15078,3.3,0.11765208087902664+0.7004511733400914j           ,0.495526142
4.7305,12.017,0.15078,3.4,0.309658539696537+0.6513374493688908j             ,0.479871116
4.7305,12.017,0.15078,3.5,0.48461157626960666+0.5503885662603037j           ,0.462224046
4.7305,12.017,0.15078,3.6,0.6288161904329357+0.40319463099607805j           ,0.442024288
4.7305,12.017,0.15078,3.7,0.7303484624327536+0.21865878009379094j           ,0.418779461
4.7305,12.017,0.15078,3.8,0.77958811651565+0.00851601859855323j             ,0.392169846
4.7305,12.017,0.15078,3.9,0.769719403606235-0.21301029459830645j            ,0.362158654
4.7305,12.017,0.15078,4,0.697437389844949-0.429524858018089j              ,0.329089484
4.7305,12.017,0.15078,4.1,0.5639611149015382-0.6230818588869323j            ,0.293716858
4.7305,12.017,0.15078,4.2,0.3760963508578161-0.7755181116731416j            ,0.257123193
4.7305,12.017,0.15078,4.3,0.14673027909375344-0.8705903789714471j           ,0.220542617
4.7305,12.017,0.15078,4.4,-0.10580645647683926-0.896458793724074j           ,0.185166625
4.7305,12.017,0.15078,4.5,-0.35959809749968796-0.8477581054077103j          ,0.151995403
4.7305,12.017,0.15078,4.6,-0.5918026355480254-0.7266405961632657j           ,0.121763085
4.7305,12.017,0.15078,4.7,-0.7814617107711342-0.5425777592004741j           ,0.09492697
4.7305,12.017,0.15078,4.8,-0.9118790296376499-0.31108646995404726j          ,0.071701844
4.7305,12.017,0.15078,4.9,-0.9722164613831681-0.051766661072863j            ,0.052115365
4.7305,12.017,0.15078,5,-0.9582125141775427+0.21392797581837575j          ,0.036063599
